所在地,院士,硕士点,类型,重点学科,博士点,是否为985,是否为211,是否自主招生,平均线
桂林,0,172,师范,14,12,否,否,否,591
广州,0,0,工科,0,0,否,否,否,552
杭州,0,0,工科,0,0,否,否,否,499
乌鲁木齐,0,112,师范,0,0,否,否,否,553
乌鲁木齐,0,83,综合,9,12,否,是,否,555
杭州,0,106,工科,0,14,否,否,否,518
北京,0,0,财经,1,0,否,否,否,515
杭州,26,317,综合,35,283,是,是,是,659
南京,0,5,艺术,0,5,否,否,否,547
南京,0,0,综合,0,0,否,否,否,553
南京,4,127,工科,1,41,否,否,否,525
唐山,0,0,工科,0,0,否,否,否,474
杭州,0,0,工科,0,0,否,否,否,551
淮安,0,0,师范,0,0,否,否,否,534
兰州,9,187,综合,10,56,是,是,是,597
南昌,0,0,综合,0,0,否,否,否,473
保定,0,97,农业,1,42,否,否,否,547
上海,0,0,工科,0,0,否,否,否,554
太原,5,62,工科,1,23,否,否,否,513
绵阳,0,0,艺术,0,0,否,否,否,549
杭州,0,0,工科,0,0,否,否,否,535
广州,0,0,财经,0,0,否,否,否,549
北京,0,6,财经,0,0,否,否,否,530
成都,38,43,工科,6,15,否,是,否,554
烟台,0,0,工科,0,0,否,否,否,537
重庆,0,0,综合,0,0,否,否,否,558
喀什,0,12,师范,0,0,否,否,否,561
桂林,0,0,工科,0,0,否,否,否,564
海口,0,143,综合,3,37,否,是,否,593
青岛,7,0,工科,0,0,否,否,否,556
合肥,0,29,医药,17,2,否,否,否,570
长春,20,299,综合,4,237,是,是,是,611
淮南,3,72,工科,6,20,否,否,否,506
北京,0,0,艺术,0,0,否,否,否,565
武汉,0,41,财经,2,24,否,是,否,626
广州,0,4,师范,0,0,否,否,否,546
厦门,0,0,综合,0,0,否,否,否,559
十堰,0,0,工科,0,0,否,否,否,575
大连,2,132,师范,2,4,否,否,否,550
潮州,1,0,师范,0,0,否,否,否,551
济宁,0,0,师范,0,0,否,否,否,550
临海,0,0,综合,9,0,否,否,否,553
武汉,0,0,财经,0,0,否,否,否,551
临汾,0,137,师范,0,13,否,否,否,508
张掖,1,0,综合,0,0,否,否,否,555
南京,0,0,综合,0,0,否,否,否,536
南昌,4,269,综合,4,71,否,是,否,579
成都,0,64,师范,23,2,否,否,否,557
哈尔滨,6,93,工科,40,25,否,是,是,582
武汉,24,304,工科,28,237,是,是,是,580
成都,0,0,综合,0,0,否,否,否,551
本溪,0,0,工科,0,0,否,否,否,565
沧州,0,0,师范,0,0,否,否,否,545
固原,0,0,师范,0,0,否,否,否,553
黄山,0,0,师范,0,0,否,否,否,531
上海,7,112,工科,0,37,否,否,否,573
赣州,0,0,医药,5,0,否,否,否,550
北京,0,8,艺术,3,1,否,否,否,593
广州,7,134,综合,6,6,否,是,否,595
西安,0,0,工科,0,0,否,否,否,460
广州,0,3,艺术,2,0,否,否,否,561
沈阳,0,0,医药,0,0,否,否,否,547
郑州,0,55,医药,7,0,否,否,否,504
广汉,0,0,工科,0,0,否,否,否,516
北京,6,208,工科,9,85,否,是,否,585
桂林,0,0,综合,0,0,否,否,否,561
南昌,0,0,医药,0,0,否,否,否,481
襄阳,0,0,综合,0,0,否,否,否,556
承德,0,0,师范,1,0,否,否,否,548
长春,0,8,财经,0,0,否,否,否,519
温州,0,0,综合,0,0,否,否,否,549
吉首,0,20,综合,0,0,否,否,否,554
天津,0,0,工科,0,0,否,否,否,479
保定,0,0,综合,0,0,否,否,否,473
太原,0,0,工科,0,0,否,否,否,564
郑州,0,0,工科,0,0,否,否,否,546
乌鲁木齐,0,0,综合,0,0,否,否,否,544
广州,0,27,医药,16,0,否,否,否,545
唐山,0,30,医药,0,0,否,否,否,474
株洲,0,0,工科,0,0,否,否,否,531
肇庆,1,0,综合,0,0,否,否,否,541
南昌,10,52,师范,8,29,否,否,否,544
烟台,1,20,综合,5,0,否,否,否,514
盐城,0,0,师范,0,0,否,否,否,555
凯里,0,0,综合,0,0,否,否,否,555
西安,0,0,工科,0,0,否,否,否,479
武汉,0,0,体育,0,0,否,否,否,533
杭州,0,0,工科,0,0,否,否,否,550
石家庄,3,40,医药,10,16,否,否,否,561
忻州,0,0,师范,5,0,否,否,否,537
曲靖,0,0,师范,2,0,否,否,否,547
天津,0,0,语言,0,0,否,否,否,559
南阳,0,0,师范,0,0,否,否,否,541
徐州,0,28,医药,5,0,否,否,否,536
福州,3,50,师范,1,19,否,否,否,556
杭州,4,125,工科,0,30,否,否,否,530
沈阳,0,0,工科,0,0,否,否,否,551
长沙,0,0,农业,0,0,否,否,否,531
徐州,3,0,工科,2,0,否,否,否,550
南昌,0,102,财经,1,30,否,否,否,547
北京,3,78,医药,8,41,否,否,否,642
杭州,0,0,语言,1,0,否,否,否,540
武汉,0,0,工科,0,0,否,否,否,530
内蒙古,0,0,综合,0,0,否,否,否,538
洛阳,0,0,师范,0,0,否,否,否,544
太原,0,3,医药,5,0,否,否,否,508
兰州,0,0,综合,0,0,否,否,否,550
兰州,0,0,师范,0,0,否,否,否,542
长沙,15,282,综合,17,157,是,是,是,613
重庆,0,0,财经,0,0,否,否,否,552
湘潭,0,0,综合,0,0,否,否,否,550
厦门,0,0,综合,0,0,否,否,否,470
珠海,0,0,综合,0,0,否,否,否,479
常熟,0,0,综合,0,0,否,否,否,542
大连,0,0,工科,0,0,否,否,否,473
哈尔滨,0,0,工科,0,0,否,否,否,528
武汉,3,51,工科,0,0,否,否,否,563
石家庄,0,0,财经,0,0,否,否,否,563
青岛,0,0,综合,0,0,否,否,否,547
哈尔滨,0,28,医药,4,22,否,否,否,550
鸡西,0,0,综合,0,0,否,否,否,557
新余,0,0,综合,0,0,否,否,否,559
石家庄,0,0,医药,0,0,否,否,否,487
昆明,0,0,综合,0,0,否,否,否,556
郴州,0,0,工科,0,0,否,否,否,549
安顺,0,0,综合,0,0,否,否,否,555
成都,10,62,工科,6,44,是,是,是,608
青岛,6,77,工科,18,8,否,否,否,509
大连,0,19,工科,2,2,否,否,否,511
济南,0,8,艺术,0,0,否,否,否,539
北京,0,48,语言,3,24,否,是,否,656
兰州,0,0,财经,0,0,否,否,否,554
北京,0,0,综合,0,0,否,否,否,481
惠州,0,0,综合,0,0,否,否,否,571
菏泽,0,0,综合,8,0,否,否,否,543
天津,0,10,师范,9,0,否,否,否,509
武汉,0,0,工科,0,0,否,否,否,478
广州,1,23,农业,5,12,否,否,否,573
石河子,0,0,综合,0,0,否,否,否,552
秦皇岛,0,45,工科,5,11,否,否,否,562
北京,0,4,艺术,1,0,否,否,否,524
徐州,0,0,综合,0,0,否,否,否,557
合肥,0,0,工科,0,0,否,否,否,549
武汉,14,284,综合,20,231,是,是,是,638
嘉兴,0,0,综合,0,0,否,否,否,467
上海,0,23,医药,4,15,否,否,否,546
北京,0,1,艺术,1,1,否,是,否,562
上海,2,55,农业,1,24,否,否,否,508
绥化,0,0,综合,0,0,否,否,否,536
太原,0,0,工科,0,0,否,否,否,474
锦州,0,30,综合,8,0,否,否,否,552
合肥,0,96,农业,1,37,否,否,否,498
临安,2,21,林业,11,0,否,否,否,501
常德,0,0,综合,0,0,否,否,否,543
张家界,0,0,综合,0,0,否,否,否,538
武汉,0,0,工科,0,0,否,否,否,538
哈尔滨,0,60,工科,4,0,否,否,否,545
银川,1,31,民族,0,0,否,否,否,548
大连,0,22,语言,3,0,否,否,否,516
西宁,0,10,师范,0,0,否,否,否,529
上海,0,8,工科,0,0,否,否,否,531
郑州,0,0,工科,0,0,否,否,否,572
大同,0,0,综合,0,0,否,否,否,542
内江,0,0,师范,0,0,否,否,否,551
哈尔滨,7,164,林业,20,52,否,是,否,569
济南,0,0,综合,0,0,否,否,否,470
天津,0,0,综合,0,0,否,否,否,538
茂名,0,0,综合,0,0,否,否,否,558
上海,0,0,工科,0,0,否,否,否,539
天津,0,152,工科,2,42,否,是,否,565
烟台,0,0,工科,0,0,否,否,是,561
太原,0,0,医药,0,0,否,否,否,544
沈阳,0,36,工科,8,1,否,否,否,517
嘉兴,0,0,财经,0,0,否,否,否,545
福州,0,62,医药,1,29,否,否,否,526
贵阳,0,6,民族,0,0,否,否,否,549
上海,35,229,综合,30,178,是,是,是,687
太原,0,0,财经,0,0,否,否,否,485
淮北,0,0,师范,0,0,否,否,否,545
贵阳,2,155,综合,25,11,否,是,是,562
南昌,0,0,师范,0,0,否,否,否,540
宁波,0,0,政法,0,0,否,否,否,534
哈尔滨,0,0,财经,0,0,否,否,否,542
天津,0,0,综合,0,0,否,否,否,486
北京,9,104,工科,4,35,否,是,否,603
宁德,0,0,师范,0,0,否,否,否,537
天水,0,0,师范,0,0,否,否,否,552
新乡,0,0,师范,0,0,否,否,否,583
桂林,0,16,工科,7,0,否,否,否,547
哈尔滨,0,125,综合,23,17,否,否,是,527
石家庄,0,70,财经,0,0,否,否,否,540
济南,3,45,工科,0,0,否,否,否,550
衡阳,0,0,工科,0,0,否,否,否,539
福州,0,0,财经,0,0,否,否,否,554
成都,0,0,工科,0,0,否,否,否,550
金山,7,23,农业,1,11,否,否,否,554
大连,5,17,工科,2,28,否,是,是,580
武汉,4,52,工科,28,6,否,否,否,519
北京,3,32,财经,0,1,否,否,否,585
福州,0,0,综合,0,0,否,否,否,551
东营,5,183,工科,7,55,否,是,否,573
信阳,0,67,师范,8,0,否,否,否,547
泰州,0,0,师范,0,0,否,否,否,545
徐州,3,31,师范,0,0,否,否,否,532
长沙,0,23,医药,31,14,否,否,否,506
崇左,0,0,综合,0,0,否,否,否,544
贵阳,0,0,综合,0,0,否,否,否,560
阜阳,0,0,师范,18,0,否,否,否,538
广州,0,0,综合,0,0,否,否,否,557
温州,0,45,工科,0,0,否,否,否,549
南京,0,0,工科,0,0,否,否,否,575
绵阳,0,0,工科,0,0,否,否,否,533
昆明,0,156,师范,14,8,否,否,否,559
乌鲁木齐,0,37,农业,7,6,否,否,否,545
成都,0,0,工科,0,0,否,否,否,466
攀枝花,0,0,综合,6,0,否,否,否,555
杭州,0,66,工科,1,9,否,否,否,516
西安,0,0,财经,0,0,否,否,否,551
吉安,4,0,综合,6,0,否,否,否,542
牡丹江,0,0,医药,0,0,否,否,否,559
