星期,最高,最低,天气,风向,风力,AQI
星期五,30℃,20℃,雷阵雨~阵雨,无持续,1,182
星期日,7℃,-5℃,多云,西南,2,115
星期二,33℃,24℃,多云~晴,无持续,1,82
星期二,4℃,-6℃,晴,北,3,28
星期六,4℃,-5℃,多云~霾,无持续,1,153
星期日,13℃,2℃,阴~晴,北,3,72
星期三,2℃,-6℃,晴,无持续,1,41
星期六,2℃,-3℃,小雪,无持续,1,207
星期二,20℃,14℃,小雨~晴,南,2,58
星期日,33℃,24℃,雷阵雨~大到暴雨,无持续,1,86
星期三,29℃,18℃,多云~雷阵雨,无持续,1,191
星期一,10℃,-4℃,晴,南,2,116
星期五,2℃,-8℃,晴,北,3,144
星期二,20℃,11℃,小雨~多云,无持续,1,66
星期三,5℃,-5℃,晴,南,2,84
星期五,17℃,12℃,小雨~晴,无持续,1,58
星期四,23℃,20℃,大雨,南,3,49
星期四,18℃,9℃,小雨~晴,西南,2,35
星期日,19℃,7℃,多云~阴,东南,2,278
星期日,27℃,14℃,多云,北,3,43
星期日,6℃,-3℃,晴~多云,无持续,1,101
星期一,33℃,22℃,雷阵雨,无持续,1,135
星期四,7℃,-2℃,多云~晴,北,4,147
星期三,32℃,22℃,霾,无持续,1,116
星期五,15℃,4℃,霾~雾,无持续,1,295
星期日,7℃,-5℃,晴,北,3,95
星期一,33℃,21℃,雷阵雨,无持续,1,88
星期五,30℃,25℃,雷阵雨,无持续,1,89
星期三,8℃,-4℃,多云,西北,2,54
星期一,30℃,21℃,阴~晴,无持续,1,40
星期二,20℃,8℃,多云~晴,无持续,1,108
星期日,20℃,5℃,晴~多云,无持续,1,40
星期六,-3℃,-10℃,阴~多云,无持续,1,73
星期六,33℃,17℃,多云,南,3,79
星期日,15℃,5℃,晴,无持续,1,47
星期三,20℃,11℃,阴~多云,西北,2,81
星期三,8℃,-3℃,晴,北,4,40
星期日,10℃,-3℃,多云,无持续,1,115
星期一,31℃,21℃,雷阵雨~阴,南,2,77
星期五,20℃,11℃,晴~多云,东北,2,125
星期四,38℃,24℃,晴,南,2,82
星期三,27℃,14℃,晴,南,2,47
星期日,31℃,18℃,阴~阵雨,南,3,88
星期三,6℃,-4℃,多云~晴,北,3,28
星期五,25℃,11℃,晴,北,3,82
星期六,7℃,-4℃,阴~多云,南,2,67
星期三,7℃,-5℃,多云~晴,西北,3,38
星期一,7℃,-3℃,多云,南,2,91
星期六,34℃,25℃,多云~雷阵雨,南,2,64
星期六,4℃,-5℃,阴~晴,北,5,28
星期五,29℃,22℃,多云~雷阵雨,东南,2,74
星期六,9℃,1℃,多云~晴,无持续,1,137
星期二,4℃,-7℃,多云,南,2,115
星期二,5℃,-7℃,晴,无持续,1,43
星期三,9℃,-3℃,晴,无持续,1,60
星期四,28℃,20℃,阴,南,2,126
星期五,10℃,2℃,小雨~雨夹雪,无持续,1,198
星期四,29℃,23℃,阵雨,无持续,1,37
星期四,6℃,-1℃,小雨~阴,无持续,1,206
星期二,29℃,19℃,多云,无持续,1,61
星期三,-2℃,-7℃,多云~阴,无持续,1,194
星期一,23℃,13℃,阵雨,无持续,1,107
星期二,28℃,14℃,晴,南,2,42
星期六,6℃,-4℃,多云~晴,西南,2,60
星期五,32℃,22℃,多云~晴,无持续,1,39
星期四,7℃,-4℃,多云,西,2,31
星期二,10℃,-2℃,晴,无持续,1,147
星期一,28℃,15℃,多云,南,2,53
星期二,32℃,23℃,雷阵雨,无持续,1,121
星期三,0℃,-5℃,晴~多云,东,2,50
星期日,11℃,3℃,霾,无持续,1,122
星期二,31℃,17℃,晴,无持续,1,93
星期一,0℃,-9℃,小雪~晴,北,3,26
星期日,18℃,8℃,多云~晴,无持续,1,55
星期一,31℃,23℃,多云~阴,无持续,1,81
星期五,32℃,19℃,多云~雷阵雨,无持续,1,52
星期五,6℃,0℃,雨夹雪~阴,南,2,90
星期二,29℃,22℃,阵雨~阴,南,2,52
星期日,5℃,-5℃,多云~晴,北,3,89
星期五,35℃,25℃,多云,南,2,109
星期一,26℃,14℃,多云,南,2,91
星期五,5℃,-4℃,晴,南,2,39
星期六,18℃,10℃,阴~小雨,东,2,113
星期六,28℃,15℃,多云,西北,4,64
星期一,31℃,16℃,多云,南,3,91
星期三,31℃,19℃,多云,无持续,1,156
星期一,29℃,14℃,晴~多云,南,3,128
星期六,25℃,17℃,多云~小雨,无持续,1,63
星期四,1℃,-8℃,晴,北,5,89
星期四,17℃,6℃,多云,南,2,152
星期三,33℃,17℃,多云~晴,西南,3,55
星期二,8℃,-4℃,晴,西,2,29
星期四,5℃,-4℃,晴,南,2,62
星期六,35℃,25℃,阵雨~多云,南,3,120
星期四,31℃,22℃,雷阵雨,无持续,1,97
星期四,15℃,3℃,晴,无持续,1,33
星期六,29℃,22℃,雷阵雨~多云,东,2,64
星期日,32℃,24℃,阴~雷阵雨,无持续,1,76
星期三,15℃,7℃,阴~小雨,东,2,174
星期五,5℃,-4℃,霾,无持续,1,313
星期二,4℃,-6℃,晴,北,3,47
星期五,20℃,14℃,阴,南,2,107
星期二,5℃,-4℃,晴,南,2,112
星期日,28℃,19℃,多云,南,2,77
星期五,33℃,23℃,雷阵雨~中雨,东北,3,124
星期一,31℃,19℃,晴,无持续,1,46
星期一,27℃,12℃,多云,北,3,196
星期一,29℃,23℃,阵雨~多云,无持续,1,65
星期一,25℃,13℃,晴,无持续,1,29
星期二,10℃,-1℃,晴,无持续,1,52
星期二,1℃,-7℃,晴,北,3,108
星期二,29℃,17℃,阴~多云,无持续,1,95
星期一,9℃,-3℃,晴~多云,西北,2,139
星期一,1℃,-5℃,多云,南,2,39
星期一,25℃,12℃,多云~阴,南,2,158
星期一,21℃,9℃,晴,无持续,1,87
星期日,18℃,13℃,小雨,东北,2,173
星期六,20℃,5℃,晴,北,2,187
星期六,11℃,2℃,晴~阴,无持续,1,52
星期六,17℃,12℃,小雨,无持续,1,246
星期三,17℃,5℃,晴~阴,东北,2,94
星期六,3℃,-6℃,晴~多云,无持续,1,192
星期一,29℃,16℃,晴,北,2,45
星期五,25℃,13℃,晴,北,4,132
星期六,4℃,-6℃,晴,北,3,30
星期三,19℃,10℃,多云~霾,无持续,1,96
星期五,36℃,22℃,晴,西南,3,131
星期一,1℃,-8℃,多云~晴,西南,2,49
星期一,17℃,8℃,阴~小雨,无持续,1,77
星期一,1℃,-8℃,多云~晴,东北,3,25
星期五,32℃,25℃,多云,无持续,1,90
星期一,33℃,21℃,多云~晴,南,2,57
星期四,36℃,25℃,多云~雷阵雨,南,2,96
星期日,3℃,-4℃,霾~多云,无持续,1,288
星期四,34℃,27℃,多云~阴,无持续,1,117
星期二,27℃,10℃,晴,北,4,57
星期日,31℃,17℃,晴,北,3,65
星期一,5℃,-2℃,霾~多云,无持续,1,273
星期四,32℃,21℃,多云~雷阵雨,南,3,165
星期五,29℃,17℃,晴,无持续,1,33
星期四,29℃,22℃,阴,东北,2,45
星期三,3℃,-7℃,晴~多云,无持续,1,213
星期日,32℃,23℃,阴~晴,无持续,1,102
星期六,4℃,-5℃,霾,南,2,324
星期六,32℃,21℃,多云~晴,无持续,1,74
星期日,11℃,0℃,多云~晴,西南,2,76
星期一,1℃,-5℃,霾,南,2,126
星期三,30℃,18℃,多云~晴,无持续,1,68
星期二,-2℃,-9℃,晴,无持续,1,145
星期二,18℃,8℃,晴~多云,西南,2,91
星期四,8℃,-6℃,多云~晴,北,4,219
星期一,35℃,24℃,多云~晴,南,2,41
星期四,33℃,23℃,晴~霾,无持续,1,152
星期五,6℃,-4℃,晴,西南,2,41
星期四,3℃,-7℃,多云~晴,无持续,1,142
星期四,7℃,5℃,霾,无持续,1,155
星期六,17℃,2℃,多云,无持续,1,233
星期六,30℃,18℃,晴~多云,北,3,34
星期四,35℃,20℃,雷阵雨~阴,无持续,1,110
星期一,27℃,18℃,阴~阵雨,东,2,71
星期一,4℃,-8℃,晴,无持续,1,29
星期三,35℃,21℃,晴,西南,3,69
星期四,24℃,10℃,晴~多云,无持续,1,77
星期一,15℃,3℃,晴~多云,无持续,1,100
星期四,17℃,3℃,阴~晴,北,2,80
星期日,-3℃,-11℃,晴,北,4,56
星期三,30℃,17℃,多云~晴,南,3,38
星期日,15℃,-2℃,多云~晴,北,4,161
星期三,18℃,12℃,小雨~多云,无持续,1,117
星期六,7℃,-5℃,晴,南,2,54
星期五,26℃,11℃,多云,南,2,100
星期二,15℃,2℃,多云~霾,无持续,1,175
星期五,22℃,13℃,多云~阴,南,2,94
星期二,17℃,10℃,霾,无持续,1,130
星期六,10℃,0℃,晴~多云,南,2,34
星期日,23℃,6℃,多云~晴,无持续,1,95
星期一,8℃,-4℃,晴,北,3,110
星期日,32℃,23℃,雷阵雨~多云,无持续,1,106
星期日,8℃,-4℃,晴,无持续,1,68
星期四,26℃,18℃,阴~阵雨,无持续,1,133
星期三,13℃,2℃,晴,北,3,34
星期二,1℃,-4℃,小雪~阴,南,2,102
星期五,15℃,4℃,晴,无持续,1,39
星期二,22℃,7℃,晴,无持续,1,61
星期三,34℃,25℃,晴,无持续,1,89
星期三,32℃,25℃,多云~雷阵雨,无持续,1,108
星期一,28℃,17℃,霾~阵雨,无持续,1,161
星期三,10℃,2℃,多云~霾,无持续,1,183
星期五,18℃,9℃,多云~雾,南,2,214
星期五,28℃,14℃,晴,西北,3,71
星期四,21℃,11℃,多云,南,2,77
星期二,19℃,8℃,多云~晴,南,2,37
星期四,4℃,-5℃,晴,西南,3,45
星期日,34℃,24℃,多云~晴,南,2,44
星期五,24℃,19℃,雷阵雨,东,2,38
星期二,6℃,-3℃,多云,无持续,1,98
星期日,32℃,24℃,多云~阴,无持续,1,49
星期五,28℃,21℃,阵雨~多云,无持续,1,55
星期五,29℃,15℃,晴~多云,西南,3,114
星期日,22℃,18℃,中雨~阵雨,北,2,36
星期四,4℃,-6℃,晴,无持续,1,92
星期四,18℃,9℃,晴~多云,南,2,79
星期二,27℃,20℃,雷阵雨,无持续,1,82
星期六,34℃,25℃,多云~阵雨,无持续,1,38
星期日,30℃,18℃,阴~多云,无持续,1,111
星期三,31℃,19℃,多云~晴,无持续,1,66
星期三,6℃,-5℃,霾,北,2,365
星期五,30℃,20℃,多云,东,2,138
星期五,24℃,14℃,晴~多云,无持续,1,125
星期日,9℃,3℃,阴~小雨,无持续,1,101
星期六,30℃,17℃,阴~多云,东,2,65
星期三,20℃,10℃,晴,无持续,1,30
星期三,15℃,9℃,阴,南,2,141
星期四,9℃,-2℃,晴~阴,北,4,39
星期四,29℃,17℃,阵雨,西南,2,90
星期日,5℃,-1℃,雨夹雪~大雪,无持续,1,85
星期日,1℃,-8℃,多云~晴,北,4,92
星期四,27℃,16℃,多云~晴,北,4,80
星期日,34℃,23℃,阴~雷阵雨,南,3,117
星期一,19℃,10℃,多云~晴,无持续,1,114
星期五,-6℃,-16℃,多云~晴,北,4,30
星期二,29℃,17℃,多云~晴,南,2,65
星期四,31℃,18℃,多云~晴,北,4,50
星期三,29℃,23℃,阵雨~中雨,无持续,1,82
星期三,7℃,-3℃,晴,南,2,41
星期四,2℃,-4℃,霾,北,2,282
星期五,22℃,9℃,多云~晴,南,2,56
星期六,-11℃,-14℃,晴,北,5,67
星期日,28℃,18℃,雷阵雨~多云,无持续,1,113
星期四,28℃,13℃,晴,北,4,46
星期三,4℃,-7℃,晴,北,3,47
星期二,24℃,11℃,多云~霾,南,3,154
星期四,-2℃,-9℃,小雪~阴,无持续,1,194
星期六,30℃,22℃,多云,南,2,58
星期一,34℃,25℃,晴~多云,南,2,77
星期三,22℃,7℃,晴,无持续,1,58
星期四,26℃,13℃,多云,南,3,120
星期日,23℃,18℃,雷阵雨~多云,无持续,1,40
星期二,25℃,16℃,阵雨~晴,无持续,1,83
星期五,4℃,-5℃,晴,北,3,35
星期六,31℃,15℃,晴~多云,无持续,1,206
星期四,22℃,11℃,多云,北,2,75
星期五,6℃,-3℃,晴~多云,无持续,1,190
星期三,17℃,6℃,霾,无持续,1,295
星期二,29℃,17℃,多云,南,3,96
星期五,37℃,21℃,晴~多云,南,3,83
星期一,18℃,7℃,晴~多云,东北,2,60
星期五,13℃,2℃,晴,北,4,31
星期四,33℃,24℃,阴~晴,南,2,38
星期三,31℃,18℃,晴,北,2,46
星期四,7℃,-4℃,晴,南,2,34
星期一,6℃,-4℃,晴,北,3,27
星期三,24℃,22℃,暴雨~小到中雨,无持续,1,63
星期六,9℃,-2℃,霾,南,2,223
星期四,31℃,23℃,阵雨,无持续,1,60
星期五,32℃,24℃,多云,无持续,1,124
星期六,33℃,24℃,多云~雷阵雨,无持续,1,137
星期六,14℃,3℃,晴,西南,2,55
星期一,29℃,16℃,晴,南,3,53
星期二,15℃,8℃,小雨~阴,无持续,1,101
星期六,34℃,20℃,晴~多云,南,3,105
星期六,30℃,18℃,多云~晴,无持续,1,85
星期二,26℃,16℃,阵雨~晴,南,3,67
星期二,4℃,-5℃,霾~晴,北,2,177
星期一,11℃,2℃,阴~晴,北,4,67
星期一,31℃,23℃,晴~多云,南,2,113
星期五,10℃,6℃,霾,无持续,1,238
星期四,9℃,-4℃,晴,无持续,1,44
星期三,29℃,15℃,晴,南,3,65
星期一,14℃,2℃,晴,南,2,35
星期六,13℃,9℃,小雨,东北,2,38
星期三,30℃,23℃,雷阵雨~晴,南,2,45
星期二,30℃,24℃,阴~雷阵雨,南,2,95
星期二,30℃,23℃,阴~雷阵雨,西南,2,77
星期一,12℃,-2℃,多云~晴,北,4,86
星期三,3℃,-7℃,晴,无持续,1,34
星期四,15℃,2℃,霾,无持续,1,228
星期六,32℃,21℃,晴~多云,无持续,1,77
星期二,2℃,-7℃,晴~多云,南,2,51
星期日,16℃,8℃,阴~多云,北,2,63
星期五,6℃,-6℃,晴~多云,南,2,124
星期三,11℃,2℃,晴~霾,无持续,1,125
星期日,32℃,23℃,晴~多云,无持续,1,91
星期三,15℃,9℃,阴,无持续,1,82
星期日,0℃,-10℃,晴,南,2,38
星期三,33℃,19℃,阴~多云,南,2,106
星期一,29℃,23℃,阵雨,北,2,64
星期五,25℃,11℃,晴,北,2,73
星期二,16℃,11℃,阴~小雨,南,2,93
星期四,29℃,15℃,晴,无持续,1,130
星期六,34℃,21℃,晴,南,2,100
星期五,9℃,-3℃,晴~霾,无持续,1,120
星期三,28℃,19℃,多云,东,2,103
星期六,14℃,7℃,阴~多云,无持续,1,28
星期日,26℃,20℃,多云~阵雨,无持续,1,214
星期一,28℃,17℃,多云~晴,东北,2,37
星期三,28℃,15℃,多云~阵雨,无持续,1,55
星期六,28℃,19℃,晴~阵雨,西南,2,52
星期二,24℃,12℃,多云~晴,北,4,49
星期五,5℃,-6℃,霾,无持续,1,245
星期六,13℃,3℃,多云~小雨,北,3,169
星期六,32℃,23℃,多云~晴,无持续,1,85
星期四,5℃,-5℃,晴,南,2,109
星期四,30℃,15℃,晴,北,3,144
星期一,-3℃,-11℃,晴,北,3,43
星期五,32℃,20℃,多云,北,3,36
星期一,22℃,8℃,多云~晴,北,3,141
星期二,30℃,19℃,阴~多云,北,2,68
星期五,4℃,-6℃,晴,北,4,30
星期三,16℃,3℃,多云~晴,南,2,88
星期三,31℃,22℃,阴~多云,东北,2,50
星期六,16℃,5℃,多云~晴,北,3,86
星期五,28℃,19℃,多云~霾,无持续,1,157
星期五,8℃,-3℃,多云~晴,无持续,1,58
星期日,26℃,17℃,霾,无持续,1,241
星期二,18℃,4℃,晴,西北,3,139
星期日,30℃,23℃,多云,西南,2,85
星期一,34℃,23℃,多云,无持续,1,117
星期六,3℃,-7℃,晴,东南,2,37
星期六,29℃,12℃,晴,北,3,73
星期日,8℃,-4℃,多云~晴,北,4,56
星期日,29℃,16℃,晴,南,2,42
星期日,27℃,17℃,晴,南,3,120
星期日,8℃,-4℃,晴,北,2,31
星期一,14℃,6℃,多云~霾,无持续,1,87
星期二,26℃,22℃,雷阵雨~大雨,无持续,1,128
星期一,36℃,19℃,多云,西南,2,67
星期四,23℃,9℃,多云~晴,北,4,70
星期二,15℃,2℃,多云~阴,北,2,38
星期二,33℃,22℃,阴~雷阵雨,东,2,79
星期一,27℃,18℃,阴,南,2,68
星期三,33℃,20℃,晴~阴,北,3,40
星期四,31℃,18℃,晴,无持续,1,40
星期二,8℃,5℃,霾,北,3,401
星期五,36℃,25℃,晴~多云,南,2,62
星期一,6℃,-5℃,多云~晴,北,2,90
星期一,8℃,-4℃,霾,无持续,1,255
星期五,32℃,23℃,阴~多云,南,2,57
星期一,22℃,12℃,阵雨~多云,北,3,86
星期日,12℃,-2℃,晴,北,3,63
星期二,8℃,-4℃,晴,北,3,42
星期日,13℃,7℃,阴~多云,西北,2,56
星期二,20℃,9℃,多云~晴,西南,2,35
星期三,35℃,24℃,雷阵雨~多云,无持续,1,80
星期六,31℃,22℃,雷阵雨,东,2,48
星期六,6℃,-4℃,晴~多云,西南,2,185
星期日,28℃,19℃,阵雨~晴,西北,2,123
星期一,22℃,8℃,晴,无持续,1,101
星期一,15℃,5℃,晴~多云,南,2,35
星期二,31℃,23℃,雷阵雨,南,2,73
星期五,23℃,13℃,霾,无持续,1,282
星期四,30℃,21℃,晴~多云,无持续,1,93
星期六,27℃,16℃,多云,南,2,141
星期六,15℃,11℃,阵雨~阴,无持续,1,59
星期三,2℃,-7℃,晴~多云,无持续,1,72
星期五,5℃,-5℃,晴~多云,西南,3,71
星期一,30℃,18℃,晴,西南,2,59
星期日,3℃,-2℃,霾~雨夹雪,南,2,191
星期日,31℃,19℃,多云,西南,3,83
星期二,23℃,11℃,晴~阴,北,4,64
星期四,31℃,13℃,晴~多云,北,5,90
星期三,33℃,24℃,多云,无持续,1,114
星期六,25℃,18℃,阵雨~阴,北,3,38
星期六,32℃,23℃,雷阵雨,北,2,64
星期日,21℃,12℃,霾~晴,无持续,1,163
星期日,29℃,18℃,晴,无持续,1,85
星期六,16℃,3℃,多云,无持续,1,91
星期一,15℃,4℃,多云,南,2,202
星期一,21℃,8℃,晴~阴,北,3,39
